#!,Workbook:,Custom,Custom
#!,Deze gegevens afspelen: open het oorspronkelijke Excel-werkmapbestand, klik op de knop *Gegevensbestand importeren* op het lint *Data Streamer* en navigeer naar dit bestand.,
#!,Ga naar http://aka.ms/hackingstem/ voor meer informatie,,
19381,36411,,
19361,36407,,
19376,36429,,
19365,36442,,
19387,36439,,
19398,36460,,
19380,36407,,
19376,36425,,
19376,36429,,
19356,36433,,
19369,36419,,
19363,36417,,
19378,36416,,
19370,36407,,
19363,36408,,
19371,36443,,
19373,36422,,
19379,36425,,
19341,36415,,
19357,36404,,
19357,36411,,
19360,36392,,
19359,36409,,
19365,36409,,
19375,36389,,
19364,36403,,
19356,36400,,
19352,36385,,
19343,36379,,
19349,36393,,
19372,36378,,
19362,36411,,
19362,36410,,
19363,36418,,
19367,36419,,
19364,36418,,
19361,36442,,
19376,36422,,
19373,36427,,
19378,36398,,
19359,36411,,
19366,36415,,
19366,36378,,
19354,36403,,
19349,36392,,
19354,36432,,
19370,36415,,
19365,36414,,
19343,36373,,
19352,36392,,
19349,36396,,
19342,36420,,
19356,36393,,
19363,36399,,
19353,36403,,
19362,36399,,
19356,36410,,
19381,36399,,
19374,36416,,
19380,36419,,
19364,36374,,
19350,36395,,
19343,36388,,
19341,36389,,
19338,36375,,
19333,36377,,
19342,36421,,
19362,36411,,
19376,36418,,
19377,36410,,
19368,36420,,
19371,36430,,
19406,36495,,
19402,36459,,
19393,36444,,
19330,36378,,
19318,36356,,
19306,36341,,
19335,36402,,
19364,36410,,
19376,36420,,
19387,36394,,
19371,36424,,
19379,36426,,
19403,36425,,
19400,36452,,
19397,36452,,
19384,36421,,
19383,36434,,
19386,36437,,
19385,36459,,
19402,36452,,
19412,36458,,
19422,36446,,
19412,36466,,
19409,36465,,
19359,36380,,
19344,36386,,
19342,36381,,
19373,36445,,
19375,36415,,
19370,36424,,
19308,36341,,
19316,36354,,
19321,36361,,
19353,36408,,
19380,36423,,
19390,36436,,
19393,36472,,
19408,36468,,
19413,36462,,
19416,36423,,
19398,36450,,
19396,36446,,
19387,36401,,
19379,36430,,
19386,36435,,
19349,36393,,
19349,36400,,
19354,36399,,
19332,36409,,
19352,36397,,
19353,36401,,
19351,36427,,
19359,36394,,
19363,36403,,
19364,36438,,
19369,36417,,
19384,36431,,
19379,36417,,
19382,36428,,
19376,36430,,
19389,36435,,
19383,36428,,
19386,36427,,
19382,36407,,
19369,36423,,
19362,36412,,
19365,36446,,
19381,36433,,
19383,36428,,
19358,36439,,
19369,36418,,
19375,36426,,
19366,36387,,
19357,36407,,
19348,36398,,
19369,36399,,
19373,36410,,
19364,36423,,
19313,36341,,
19329,36363,,
19333,36375,,
19291,36315,,
19289,36323,,
19303,36335,,
19443,36478,,
19424,36487,,
19432,36486,,
19433,36476,,
19417,36473,,
19410,36464,,
19390,36389,,
19362,36418,,
19369,36414,,
19418,36501,,
19442,36505,,
19457,36505,,
19471,36495,,
19464,36529,,
19465,36531,,
19422,36431,,
19407,36458,,
19422,36476,,
19389,36404,,
19376,36436,,
19384,36439,,
19366,36395,,
19367,36412,,
19368,36417,,
19366,36448,,
19381,36432,,
19381,36424,,
19367,36434,,
19385,36438,,
19387,36433,,
19328,36402,,
19341,36383,,
19343,36381,,
19393,36442,,
19392,36439,,
19382,36426,,
19355,36358,,
19339,36381,,
19332,36369,,
19378,36417,,
19385,36436,,
19392,36446,,
19378,36371,,
19358,36407,,
19358,36407,,
19385,36429,,
19386,36436,,
19397,36452,,
19451,36476,,
19435,36486,,
19430,36492,,
19416,36489,,
19416,36465,,
